id,age,educational-num,hours-per-week,income,workclass,education,marital-status,occupation,relationship,race,gender,native-country
26915,24,13,40,0,State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,United-States
5088,25,9,40,1,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
17386,21,10,4,0,Private,Some-college,Never-married,Prof-specialty,Own-child,Amer-Indian-Eskimo,Female,United-States
10869,29,7,40,0,Private,11th,Never-married,Other-service,Unmarried,Black,Female,United-States
9091,59,14,40,1,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
3270,73,6,10,0,Private,10th,Widowed,Other-service,Not-in-family,White,Female,United-States
29265,36,9,55,1,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
21831,34,13,85,1,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,England
18564,30,10,30,0,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Female,United-States
5216,28,13,45,0,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,United-States
31524,51,12,40,1,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
29038,28,5,40,1,Local-gov,9th,Married-civ-spouse,Craft-repair,Husband,Black,Male,Trinadad&Tobago
11499,76,4,25,0,Private,7th-8th,Widowed,Other-service,Not-in-family,White,Female,United-States
28480,49,12,30,0,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,Columbia
12376,32,13,40,1,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,United-States
22842,25,9,40,0,Private,HS-grad,Separated,Handlers-cleaners,Unmarried,Black,Female,United-States
7948,47,9,37,0,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,Puerto-Rico
27003,43,10,70,1,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
3682,38,10,50,0,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States
2465,39,9,44,1,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States
5576,45,13,30,0,Private,Bachelors,Never-married,Transport-moving,Not-in-family,White,Male,United-States
27990,33,9,40,0,Private,HS-grad,Never-married,Transport-moving,Not-in-family,White,Male,United-States
3759,68,4,30,0,Private,7th-8th,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
30993,57,10,38,0,Private,Some-college,Divorced,Other-service,Not-in-family,White,Female,United-States
25598,32,4,35,0,Private,7th-8th,Separated,Sales,Unmarried,White,Female,United-States
164,45,14,40,1,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,United-States
25981,63,9,24,0,Private,HS-grad,Widowed,Other-service,Unmarried,White,Female,United-States
22128,55,14,40,1,Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
20021,18,8,15,0,Private,12th,Never-married,Sales,Own-child,Black,Female,United-States
6153,37,14,40,0,Self-emp-not-inc,Masters,Never-married,Exec-managerial,Not-in-family,White,Male,United-States
14665,40,13,40,1,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
4566,31,10,40,1,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States
29208,37,12,68,0,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,United-States
23969,29,10,40,0,Private,Some-college,Never-married,Sales,Not-in-family,White,Female,United-States
6150,31,10,70,0,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,South
2724,45,13,50,1,Local-gov,Bachelors,Divorced,Prof-specialty,Unmarried,White,Female,United-States
31173,30,9,40,0,Private,HS-grad,Never-married,Transport-moving,Own-child,Black,Male,United-States
30957,45,13,40,1,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
16376,30,13,40,0,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Other,Male,United-States
15110,29,11,40,0,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
27550,52,9,40,1,Federal-gov,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
18142,36,13,45,1,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States
30171,45,9,40,0,Private,HS-grad,Divorced,Other-service,Not-in-family,White,Female,United-States
11150,37,10,40,0,Private,Some-college,Separated,Other-service,Other-relative,White,Female,United-States
31454,30,9,40,1,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States
27032,33,13,65,1,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
29048,48,10,40,0,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Female,United-States
23050,49,13,40,0,Self-emp-not-inc,Bachelors,Never-married,Exec-managerial,Own-child,White,Female,United-States
24093,31,13,40,0,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,United-States
293,21,10,45,0,Private,Some-college,Never-married,Sales,Own-child,White,Male,United-States
31978,41,9,52,1,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
28953,66,10,50,0,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
24042,64,9,40,0,State-gov,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States
135,38,14,40,1,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,Iran
8908,29,13,50,0,Private,Bachelors,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,United-States
2879,22,7,40,0,Private,11th,Never-married,Other-service,Other-relative,White,Male,United-States
11359,41,13,50,1,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States
3059,40,9,40,0,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States
10326,50,14,40,0,Private,Masters,Never-married,Prof-specialty,Unmarried,White,Female,United-States
19683,38,10,40,0,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,United-States
31625,74,9,16,0,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Female,United-States
9117,25,10,50,0,Private,Some-college,Never-married,Craft-repair,Own-child,White,Female,United-States
19800,32,9,40,0,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,United-States
14304,22,6,25,0,Private,10th,Never-married,Sales,Not-in-family,White,Female,United-States
18943,51,14,40,1,State-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,United-States
7603,35,13,50,0,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,United-States
17127,51,9,45,0,Private,HS-grad,Divorced,Sales,Not-in-family,White,Male,United-States
9165,34,9,40,1,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,United-States
7671,47,14,40,1,Private,Masters,Divorced,Prof-specialty,Not-in-family,White,Male,United-States
30552,39,9,40,0,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States
12230,54,9,20,0,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
29625,25,13,24,0,Private,Bachelors,Never-married,Other-service,Not-in-family,Black,Female,Jamaica
10284,63,10,18,1,Federal-gov,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,United-States
8994,29,10,40,1,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Black,Male,Jamaica
19459,55,9,40,1,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States
16386,38,9,41,0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
27800,25,10,35,0,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,United-States
31209,35,11,40,0,Private,Assoc-voc,Never-married,Transport-moving,Not-in-family,White,Male,United-States
8049,39,9,40,0,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,Poland
4002,28,13,40,0,Private,Bachelors,Never-married,Sales,Own-child,White,Female,United-States
22351,33,13,40,0,Local-gov,Bachelors,Married-spouse-absent,Prof-specialty,Other-relative,Black,Male,United-States
2330,53,10,40,1,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,Philippines
24187,38,9,55,0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
11853,52,10,40,1,Private,Some-college,Married-civ-spouse,Tech-support,Husband,Black,Male,United-States
7091,45,10,40,0,Private,Some-college,Divorced,Other-service,Unmarried,Black,Female,United-States
16347,46,13,38,0,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
14466,24,13,40,0,Private,Bachelors,Never-married,Sales,Own-child,White,Male,United-States
8114,34,11,40,0,Private,Assoc-voc,Never-married,Handlers-cleaners,Not-in-family,Black,Male,United-States
24846,47,9,40,0,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States
6790,67,14,40,0,Private,Masters,Never-married,Other-service,Not-in-family,White,Female,United-States
22600,51,13,55,0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
15764,33,5,48,0,Private,9th,Separated,Adm-clerical,Not-in-family,White,Male,United-States
7159,26,10,60,0,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States
24347,38,9,10,0,Private,HS-grad,Separated,Sales,Unmarried,White,Female,United-States
10445,28,13,65,1,Local-gov,Bachelors,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States
31714,43,13,35,1,Private,Bachelors,Never-married,Sales,Unmarried,Black,Female,United-States
20682,68,9,30,0,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,United-States
26117,46,9,50,0,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,United-States
22469,45,13,40,0,Federal-gov,Bachelors,Never-married,Protective-serv,Not-in-family,Black,Female,United-States
18283,38,11,40,0,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
13791,52,9,40,0,Self-emp-not-inc,HS-grad,Widowed,Other-service,Other-relative,Black,Female,United-States
3719,21,10,40,0,Local-gov,Some-college,Never-married,Adm-clerical,Own-child,White,Male,Guatemala
8095,24,9,30,0,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,United-States
9919,32,10,70,0,Self-emp-inc,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,Cuba
20862,45,10,60,1,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States
18611,31,9,45,0,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,United-States
7715,24,9,40,0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,United-States
18768,34,10,40,0,Local-gov,Some-college,Never-married,Protective-serv,Own-child,White,Male,United-States
28632,18,7,16,0,Private,11th,Never-married,Other-service,Own-child,White,Male,United-States
17268,36,8,40,0,Private,12th,Married-civ-spouse,Craft-repair,Husband,Other,Male,United-States
31717,37,9,50,0,Private,HS-grad,Separated,Craft-repair,Not-in-family,White,Male,United-States
24861,17,6,18,0,Private,10th,Never-married,Other-service,Own-child,White,Male,United-States
2134,47,11,40,0,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
16225,57,5,40,1,Private,9th,Married-civ-spouse,Craft-repair,Husband,Black,Male,United-States
30082,62,9,38,0,Local-gov,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,United-States
3546,23,9,16,0,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,Black,Female,United-States
4039,35,9,40,0,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,United-States
13542,74,2,15,0,Private,1st-4th,Widowed,Priv-house-serv,Not-in-family,Black,Female,United-States
18534,65,9,40,0,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States
18485,56,10,40,0,Self-emp-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
12221,33,10,40,0,Federal-gov,Some-college,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,United-States
24092,28,13,40,0,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States
25314,43,10,40,0,Private,Some-college,Divorced,Machine-op-inspct,Not-in-family,White,Male,United-States
6366,59,9,40,0,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,United-States
8761,47,11,48,1,State-gov,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male,United-States
22652,32,10,40,0,Private,Some-college,Married-civ-spouse,Sales,Other-relative,Asian-Pac-Islander,Female,Greece
11929,44,14,38,1,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
20599,40,12,40,1,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,United-States
30688,47,10,45,1,Private,Some-college,Divorced,Sales,Unmarried,White,Female,United-States
31581,27,9,45,1,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
5452,28,13,16,0,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,El-Salvador
10044,42,4,35,0,Private,7th-8th,Married-spouse-absent,Prof-specialty,Other-relative,White,Male,Puerto-Rico
7250,49,10,40,0,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Female,United-States
5345,30,11,53,0,Private,Assoc-voc,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States
15498,55,4,40,0,Local-gov,7th-8th,Never-married,Other-service,Unmarried,Black,Female,United-States
3595,27,11,36,1,Self-emp-inc,Assoc-voc,Married-civ-spouse,Other-service,Wife,White,Female,United-States
11171,46,9,40,1,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
29493,21,9,40,0,Private,HS-grad,Separated,Farming-fishing,Own-child,White,Male,United-States
26156,36,9,40,0,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,United-States
4498,35,11,40,0,Private,Assoc-voc,Divorced,Other-service,Unmarried,Black,Female,United-States
6670,19,7,40,0,Private,11th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States
11884,34,9,48,1,Private,HS-grad,Separated,Adm-clerical,Not-in-family,White,Male,United-States
8338,33,9,40,0,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,United-States
24183,49,13,40,0,Private,Bachelors,Divorced,Prof-specialty,Own-child,White,Female,United-States
2578,67,14,40,1,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Black,Male,United-States
6736,22,10,25,0,Private,Some-college,Never-married,Farming-fishing,Own-child,White,Male,United-States
4802,25,9,40,0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
4102,51,5,40,0,Local-gov,9th,Married-civ-spouse,Transport-moving,Husband,Black,Male,United-States
29105,33,10,40,0,Private,Some-college,Separated,Machine-op-inspct,Not-in-family,White,Male,United-States
402,50,13,40,1,State-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States
467,38,10,40,0,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States
3625,35,13,60,0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
31925,40,13,50,0,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
22854,37,11,40,0,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
1012,50,9,40,1,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
14910,32,11,40,0,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,White,Male,Italy
27751,30,12,40,0,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
9349,21,10,15,0,Private,Some-college,Never-married,Sales,Own-child,White,Female,United-States
29357,50,13,40,1,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
9558,47,10,35,1,Self-emp-not-inc,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States
25581,44,13,50,1,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States
14118,57,10,60,1,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,United-States
29054,36,9,52,0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
1849,32,9,45,1,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
27573,50,9,40,0,Local-gov,HS-grad,Never-married,Other-service,Not-in-family,Black,Female,United-States
15690,57,9,48,0,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Male,United-States
27397,32,13,35,0,Local-gov,Bachelors,Divorced,Prof-specialty,Unmarried,White,Female,United-States
24911,64,9,23,0,Private,HS-grad,Widowed,Prof-specialty,Not-in-family,White,Female,United-States
6553,43,13,55,0,Local-gov,Bachelors,Divorced,Prof-specialty,Unmarried,White,Female,United-States
8036,53,13,40,1,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States
22776,26,10,45,0,Private,Some-college,Never-married,Other-service,Own-child,White,Female,United-States
29385,24,9,40,0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
27564,33,10,20,0,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States
567,45,4,40,0,Private,7th-8th,Separated,Other-service,Unmarried,White,Female,Mexico
17149,49,9,40,0,Private,HS-grad,Divorced,Other-service,Own-child,Black,Female,United-States
834,72,7,24,0,Private,11th,Widowed,Prof-specialty,Not-in-family,White,Female,United-States
29792,25,11,40,0,Private,Assoc-voc,Divorced,Adm-clerical,Unmarried,White,Female,United-States
24204,39,10,40,0,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,United-States
13907,52,7,20,0,Private,11th,Divorced,Other-service,Unmarried,White,Female,United-States
29421,35,11,20,1,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States
5013,48,14,40,1,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
20332,21,7,40,0,Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
21690,27,9,40,0,Federal-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,Black,Female,United-States
27012,21,10,20,0,Private,Some-college,Never-married,Sales,Own-child,White,Female,United-States
5503,21,9,40,0,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,Male,Mexico
30769,45,10,40,1,Local-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,Mexico
18838,29,9,40,0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
32351,60,4,40,0,Private,7th-8th,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Male,United-States
21275,23,10,35,0,Private,Some-college,Never-married,Other-service,Own-child,White,Female,United-States
5560,27,10,40,1,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,Cambodia
1253,52,9,43,0,Federal-gov,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,United-States
32281,50,13,50,0,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
17739,42,10,40,0,Private,Some-college,Divorced,Craft-repair,Unmarried,White,Male,United-States
32016,62,9,40,1,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
19595,51,13,20,1,Private,Bachelors,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States
31723,31,10,10,0,Private,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States
23250,36,9,40,0,Private,HS-grad,Divorced,Exec-managerial,Own-child,White,Female,United-States
4602,40,9,40,0,Private,HS-grad,Separated,Transport-moving,Unmarried,Black,Female,United-States
28444,55,9,55,0,Self-emp-not-inc,HS-grad,Separated,Farming-fishing,Unmarried,White,Female,United-States
31892,55,9,45,0,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,United-States
957,33,6,40,0,Local-gov,10th,Divorced,Transport-moving,Not-in-family,White,Male,United-States
23511,47,14,55,1,Self-emp-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
16760,18,10,25,0,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Female,United-States
13267,32,10,40,1,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States
28696,33,10,45,0,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,United-States
22745,37,12,50,0,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States
29765,29,9,40,0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
10888,25,9,40,0,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,El-Salvador
3698,44,10,50,1,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
28952,42,13,40,1,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
14016,36,10,56,1,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States
12759,43,14,40,0,Self-emp-not-inc,Masters,Never-married,Exec-managerial,Not-in-family,White,Female,United-States
3055,34,9,40,0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
2414,44,13,50,1,Private,Bachelors,Divorced,Exec-managerial,Unmarried,White,Male,United-States
15697,28,9,50,0,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,United-States
1479,33,10,35,0,Self-emp-not-inc,Some-college,Never-married,Other-service,Not-in-family,White,Male,United-States
