ID,Percentage,Category
457,0.16025905,TN
458,0.19671273,TN
459,0.4759657,FN
460,0.5271471,TP
461,0.7183223,TP
462,0.78198415,TP
463,0.5480389,TP
464,0.11492196,FN
465,0.30083126,TN
466,0.2165187,FN
467,0.085794814,TN
468,0.66635454,TP
469,0.73472935,FP
470,0.5741697,TP
471,0.32407942,TN
472,0.16102917,TN
473,0.23072101,TN
474,0.400209,FN
475,0.46737784,FN
476,0.20242862,TN
477,0.81288695,TP
478,0.734517,TP
479,0.16314922,TN
480,0.15581794,TN
481,0.10608902,TN
482,0.22971919,TN
483,0.29273474,TN
484,0.18660632,TN
485,0.36575,TN
486,0.28512564,FN
487,0.15053739,TN
488,0.5001376,TP
489,0.74061763,TP
490,0.30845085,TN
491,0.058947545,TN
492,0.44671598,FN
493,0.4654496,TN
494,0.2744723,TN
495,0.34323025,FN
496,0.79982764,TP
497,0.6017159,TP
498,0.7211582,TP
499,0.55332834,FP
500,0.14633249,FN
501,0.1197336,TN
502,0.14936037,TN
503,0.12157474,TN
504,0.2502792,TN
505,0.13397427,TN
506,0.23087305,TN
507,0.22127627,TN
508,0.44305515,TN
509,0.21539676,TN
510,0.6238923,FP
511,0.66923565,TP
512,0.428516,FN
513,0.41395697,TN
514,0.23748977,TN
515,0.40846562,FN
516,0.7385057,TP
517,0.4178899,TN
518,0.35889298,FN
519,0.6714395,TP
520,0.12300771,TN
521,0.69698304,TP
522,0.5153113,TP
523,0.6072287,TP
524,0.7790621,FP
525,0.27030385,TN
526,0.5899782,TP
527,0.27672607,TN
528,0.19122624,TN
529,0.15301582,TN
530,0.088399015,TN
531,0.7481476,FP
532,0.7674575,TP
533,0.36395752,FN
534,0.15866509,TN
535,0.12715189,TN
536,0.8037179,TP
537,0.06961693,TN
538,0.67995375,TP
539,0.46102875,TN
540,0.24069418,TN
541,0.11308467,TN
542,0.43483526,TN
543,0.8090155,TP
544,0.3535885,FN
545,0.45689,FN
546,0.6376114,FP
547,0.07600328,TN
548,0.14748035,TN
549,0.5526585,FP
550,0.22933143,TN
551,0.051314954,TN
552,0.6863959,TP
553,0.22675218,TN
554,0.66238576,TP
555,0.77283454,TP
556,0.71861,TP
557,0.508058,FP
558,0.5229795,TP
559,0.0616081,TN
560,0.3063632,FN
561,0.9025023,TP
562,0.2237313,FN
563,0.6290994,TP
564,0.3701966,FN
565,0.16144674,TN
566,0.48370245,TN
567,0.5655487,TP
568,0.60522896,TP
569,0.331758,FN
570,0.3182168,FN
571,0.30641392,FN
572,0.5569491,FP
573,0.11761367,TN
574,0.43879133,TN
575,0.6708419,TP
576,0.33435008,TN
577,0.49761355,FN
578,0.26556718,TN
579,0.42886487,FN
580,0.8106421,TP
581,0.6954516,FP
582,0.7154821,TP
583,0.19578783,TN
584,0.5760519,TP
585,0.27720693,TN
586,0.43954125,TN
587,0.43435,FN
588,0.51632255,TP
589,0.7182481,TP
590,0.9179215,TP
591,0.22203918,TN
592,0.20346428,TN
593,0.57289404,FP
594,0.3322937,TN
595,0.32896397,TN
596,0.19712152,TN
597,0.5641569,FP
598,0.0707904,TN
599,0.7104054,TP
600,0.51509666,TP
601,0.70217115,FP
602,0.43837267,FN
603,0.4807104,TN
604,0.3132255,TN
605,0.8668789,TP
606,0.3114591,TN
607,0.7985766,TP
608,0.8002943,FP
609,0.35548493,FN
610,0.8515417,TP
611,0.23592782,TN
612,0.2327945,TN
613,0.76303303,FP
614,0.61269855,TP
615,0.87106425,TP
616,0.2008674,TN
617,0.6655761,TP
618,0.3261843,TN
619,0.6675547,FP
620,0.6345502,TP
621,0.42182153,FN
622,0.73475367,FP
623,0.14686678,TN
624,0.5798582,TP
625,0.09485951,TN
626,0.2591964,FN
627,0.70766395,TP
628,0.3452469,FN
629,0.22632182,TN
630,0.7789562,TP
631,0.6117616,TP
632,0.608727,FP
633,0.48769763,TN
634,0.28648427,TN
635,0.38888562,TN
636,0.5918555,TP
637,0.7765488,TP
638,0.28590003,FN
639,0.42263836,FN
640,0.8581309,TP
641,0.7561096,TP
642,0.28115925,TN
643,0.6966335,TP
644,0.82095414,TP
645,0.64858454,FP
646,0.79172087,TP
647,0.83903724,TP
648,0.30849522,TN
649,0.44140652,FN
650,0.70404696,TP
651,0.25775784,TN
652,0.29577395,FN
653,0.34378478,TN
654,0.47907895,TN
655,0.85631365,TP
656,0.7246242,FP
657,0.2832018,TN
658,0.76939225,TP
659,0.7151961,FP
660,0.44211897,FN
661,0.67224604,FP
662,0.3468348,TN
663,0.26435754,TN
664,0.85042375,FP
665,0.5736796,TP
666,0.2736696,TN
667,0.76080686,TP
668,0.17324628,TN
669,0.795568,TP
670,0.7747157,TP
671,0.64639837,FP
672,0.45515275,FN
673,0.79617304,TP
674,0.7230942,FP
675,0.26811987,TN
676,0.51531076,TP
677,0.6290261,TP
678,0.7761083,TP
679,0.40462127,FN
680,0.5403371,TP
681,0.1175458,TN
682,0.6034022,FP
683,0.7065801,TP
684,0.7024475,TP
685,0.7007206,FP
686,0.069976434,TN
687,0.13477318,FN
688,0.38922802,FN
689,0.6240711,TP
690,0.82623297,TP
691,0.25673354,FN
692,0.17591521,TN
693,0.39543617,TN
694,0.44423723,FN
695,0.25223318,TN
696,0.28756252,TN
697,0.72907156,TP
698,0.24268416,TN
699,0.7511729,FP
700,0.2767412,FN
701,0.3391288,TN
702,0.74799025,TP
703,0.7252819,TP
704,0.3183383,TN
705,0.6887016,TP
706,0.45696312,FN
707,0.10846369,TN
708,0.5282549,TP
709,0.17030269,TN
710,0.394535,TN
711,0.8037207,FP
712,0.7685825,TP
713,0.5917275,TP
714,0.7791635,TP
715,0.7957149,TP
716,0.7295048,FP
717,0.46429062,TN
718,0.17023596,FN
719,0.69628376,TP
720,0.258798,TN
721,0.8430558,TP
722,0.33732256,TN
723,0.65752864,FP
724,0.33158678,TN
725,0.6035588,TP
726,0.5614566,TP
727,0.360062,FN
728,0.7017618,TP
729,0.33037558,TN
730,0.4411544,TN
731,0.77582884,TP
732,0.72602946,TP
733,0.21772021,FN
734,0.72792083,TP
735,0.4372057,TN
736,0.6536902,TP
737,0.8688506,TP
738,0.3629111,TN
739,0.39457056,TN
740,0.3648458,TN
741,0.7410668,TP
742,0.6302596,TP
743,0.8389869,TP
744,0.2437883,TN
745,0.35161927,FN
746,0.58810073,TP
747,0.5445742,TP
748,0.83144003,TP
749,0.27829322,FN
750,0.17025277,FN
751,0.8111009,TP
752,0.19709097,FN
753,0.42124945,TN
754,0.822409,TP
755,0.7635058,TP
756,0.71602726,TP
757,0.843713,TP
758,0.462388,FN
759,0.40588364,FN
760,0.33173183,FN
761,0.75221956,TP
762,0.5053146,TP
763,0.6680044,TP
764,0.7942294,TP
765,0.6309102,TP
766,0.2907544,FN
767,0.48241377,FN
768,0.5927029,TP
769,0.55261403,TP
770,0.39732435,TN
771,0.817985,TP
772,0.25958303,TN
773,0.34718493,TN
774,0.83175385,TP
775,0.7528929,TP
776,0.7078102,TP
777,0.14239354,FN
778,0.36813954,FN
779,0.7786984,TP
780,0.8111597,TP
781,0.76059127,TP
782,0.60468435,TP
783,0.58287615,FP
784,0.60988665,TP
785,0.8372082,TP
786,0.4113095,FN
787,0.37900114,FN
788,0.52925307,FP
789,0.75955576,TP
790,0.46816325,FN
791,0.7993617,TP
792,0.18738356,TN
793,0.53321856,TP
794,0.79214615,TP
795,0.55979985,FP
796,0.7703544,TP
797,0.5092005,FP
798,0.63685447,TP
799,0.80691147,TP
800,0.4649555,FN
801,0.75027883,TP
802,0.69483316,TP
803,0.32641026,FN
804,0.7868409,TP
805,0.87646097,TP
806,0.7681227,FP
807,0.7945176,TP
808,0.70163876,TP
809,0.9120317,TP
810,0.72344226,TP
811,0.7869387,TP
812,0.67882556,TP
813,0.8409434,TP
814,0.7394555,TP
815,0.20244128,TN
816,0.46836513,FN
817,0.21317387,TN
818,0.4294799,TN
819,0.6092428,FP
820,0.50057894,TP
821,0.25026774,TN
822,0.7607939,TP
823,0.46900287,TN
824,0.36682665,FN
825,0.84084994,TP
826,0.773837,TP
827,0.4326528,FN
828,0.21422471,TN
829,0.44777155,TN
830,0.735731,TP
831,0.4246842,FN
832,0.55308443,TP
833,0.72447115,TP
834,0.5378826,FP
835,0.28436112,TN
836,0.74614894,TP
837,0.8392541,TP
838,0.64292413,TP
839,0.81077915,TP
840,0.843322,TP
841,0.20449637,TN
842,0.26759803,TN
843,0.5141634,TP
844,0.4845346,TN
845,0.7980041,FP
846,0.8107677,FP
847,0.18625505,FN
848,0.79310155,TP
849,0.75175434,TP
850,0.7663102,TP
851,0.8435218,TP
852,0.54584086,TP
853,0.6820179,TP
854,0.29316944,TN
855,0.37939668,TN
856,0.57492954,TP
857,0.21356805,FN
858,0.6481114,FP
859,0.8214964,TP
860,0.6478697,TP
861,0.5106906,TP
862,0.6426031,TP
863,0.3398228,FN
864,0.6901514,TP
865,0.51274174,TP
866,0.4749351,FN
867,0.30404067,TN
868,0.80151945,TP
869,0.7733368,TP
870,0.872829,TP
871,0.6288991,TP
872,0.78258103,TP
873,0.4652953,FN
874,0.3969839,TN
875,0.52381814,TP
876,0.78156716,TP
877,0.622921,TP
878,0.459666,FN
879,0.76120704,TP
880,0.68886757,TP
881,0.8146546,TP
882,0.7685664,TP
883,0.22833368,TN
884,0.40267053,FN
885,0.45638,TN
886,0.8050925,TP
887,0.7931257,TP
888,0.7795029,TP
889,0.8493372,TP
890,0.27494863,TN
891,0.27485138,FN
892,0.61928374,TP
893,0.47443566,TN
894,0.68848896,TP
895,0.37583274,FN
896,0.19323763,FN
897,0.4193031,FN
898,0.3876075,TN
899,0.53004587,TP
900,0.44673198,FN
901,0.7055959,TP
902,0.80734456,FP
903,0.39910525,FN
904,0.72883296,FP
905,0.6442054,TP
906,0.07449395,TN
907,0.58967847,TP
908,0.66267115,TP
909,0.81880194,TP
910,0.785691,TP
911,0.48583254,TN
912,0.86221004,TP
913,0.6770455,TP
914,0.5972774,TP
915,0.6356338,TP
916,0.5033565,TP
917,0.56780523,TP
918,0.34604573,TN
919,0.7823024,TP
920,0.6787254,TP
921,0.68997794,TP
922,0.38173875,FN
923,0.2698924,TN
924,0.6965075,FP
925,0.8473557,TP
926,0.387466,TN
927,0.2857467,TN
928,0.3013467,TN
929,0.58262575,TP
930,0.49680275,FN
931,0.68862516,TP
932,0.7435752,TP
933,0.80516005,TP
934,0.7764091,TP
935,0.7926937,TP
936,0.71755743,TP
937,0.5073187,TP
938,0.8432138,TP
939,0.7233135,TP
940,0.8415276,TP
941,0.26971462,TN
942,0.41246542,FN
943,0.36402103,FN
944,0.68887645,TP
945,0.8429826,TP
946,0.80345833,TP
947,0.7920533,TP
948,0.33620608,FN
949,0.7066731,TP
950,0.2745899,TN
951,0.743306,TP
952,0.85847557,TP
953,0.7811047,TP
954,0.6853188,TP
955,0.63573796,TP
956,0.5506254,FP
957,0.61474794,TP
958,0.6993035,TP
959,0.71601754,TP
960,0.88209957,TP
961,0.36091658,TN
962,0.848866,TP
963,0.71842843,TP
964,0.4191253,TN
965,0.30544573,TN
966,0.19058497,TN
967,0.7703873,FP
968,0.44684026,TN
969,0.8011732,FP
970,0.41858003,TN
971,0.2282814,TN
972,0.2698198,TN
973,0.7144754,FP
974,0.57263505,FP
975,0.82743865,FP
976,0.1781231,TN
977,0.13809451,TN
978,0.65913284,FP
979,0.5797714,TP
980,0.24633074,FN
981,0.2097749,TN
982,0.5043965,FP
983,0.67376024,FP
984,0.44213334,FN
985,0.3701542,FN
986,0.65331286,FP
987,0.51964295,FP
988,0.48080936,TN
989,0.5737817,TP
990,0.2889056,FN
991,0.7200153,TP
992,0.48395562,FN
993,0.086065605,TN
994,0.7423514,TP
995,0.7015377,TP
996,0.28553203,TN
997,0.24850552,TN
998,0.6228638,FP
999,0.14280222,FN
1000,0.26233777,TN
1001,0.3491061,TN
1002,0.21769367,TN
1003,0.032688472,FN
1004,0.66732424,FP
1005,0.7371798,TP
1006,0.11480703,FN
1007,0.5124042,FP
1008,0.7659302,TP
1009,0.3783124,FN
1010,0.17711821,TN
1011,0.4625076,FN
1012,0.20977524,TN
1013,0.14655943,TN
1014,0.20548381,TN
1015,0.6082473,TP
1016,0.84576595,TP
1017,0.15201557,TN
1018,0.33869794,TN
1019,0.7329816,TP
1020,0.40400866,TN
1021,0.2883924,TN
1022,0.7277601,TP
1023,0.09264249,TN
1024,0.73899883,TP
1025,0.32417843,TN
1026,0.54363424,FP
1027,0.86446965,TP
1028,0.52247655,TP
1029,0.62376255,TP
1030,0.44179922,FN
1031,0.71601087,TP
1032,0.19972917,FN
1033,0.73473775,TP
1034,0.45213,FN
1035,0.7520056,TP
1036,0.7627306,TP
1037,0.71108836,TP
1038,0.55464935,FP
1039,0.5365954,TP
1040,0.38099253,FN
1041,0.30416128,TN
1042,0.7138713,TP
1043,0.4230958,FN
1044,0.7763564,TP
1045,0.6964576,TP
1046,0.37982827,TN
1047,0.4784597,FN
1048,0.5094495,FP
1049,0.09436474,TN
1050,0.3344453,TN
1051,0.6027322,FP
1052,0.79538286,TP
1053,0.820245,FP
1054,0.6553514,TP
1055,0.45941472,FN
1056,0.5465844,TP
1057,0.21724448,TN
1058,0.39568695,TN
1059,0.08790903,TN
1060,0.7853311,TP
1061,0.7444396,TP
1062,0.64941776,FP
1063,0.097683474,TN
1064,0.26659596,TN
1065,0.18111505,FN
1066,0.63982826,TP
1067,0.2526251,TN
1068,0.4574348,FN
1069,0.39751887,TN
1070,0.7071041,FP
1071,0.6637925,TP
1072,0.6777444,TP
1073,0.27476734,TN
1074,0.29958093,TN
1075,0.77326,TP
1076,0.1924427,TN
1077,0.69981915,TP
1078,0.48512754,TN
1079,0.7036184,TP
1080,0.36102283,TN
1081,0.77055115,FP
1082,0.36195174,TN
1083,0.6821192,TP
1084,0.37406918,FN
1085,0.7227459,TP
1086,0.2417624,TN
1087,0.13378891,TN
1088,0.77680135,TP
1089,0.6532732,FP
1090,0.4151276,TN
1091,0.68040794,TP
1092,0.34241235,TN
1093,0.40496632,TN
1094,0.7609873,TP
1095,0.3257259,FN
1096,0.3229662,FN
1097,0.8087421,TP
1098,0.21769716,TN
1099,0.5619165,TP
1100,0.3982951,TN
1101,0.42848665,FN
1102,0.26580167,TN
1103,0.15267706,TN
1104,0.858307,TP
1105,0.59445447,TP
1106,0.56209046,FP
1107,0.7180456,TP
1108,0.50731695,FP
1109,0.61795795,FP
1110,0.5296881,TP
1111,0.19297782,TN
1112,0.3115926,TN
1113,0.75899535,TP
1114,0.22887102,TN
1115,0.5541,FP
1116,0.23083737,TN
1117,0.82498854,TP
1118,0.2192342,TN
1119,0.73532796,TP
1120,0.71463585,FP
1121,0.20576802,TN
1122,0.72888744,TP
1123,0.6544999,FP
1124,0.7876134,TP
1125,0.2340187,TN
1126,0.5207376,FP
1127,0.4439911,TN
1128,0.39814064,TN
1129,0.7509039,TP
1130,0.17422977,TN
1131,0.122448206,TN
1132,0.2912376,TN
1133,0.46467116,TN
1134,0.07794501,TN
1135,0.35700172,TN
1136,0.72846055,TP
1137,0.4230011,TN
1138,0.5201162,TP
1139,0.36061692,FN
1140,0.34256437,TN
1141,0.403944,TN
1142,0.29644126,TN
1143,0.24733278,TN
1144,0.3251747,TN
1145,0.32154146,TN
1146,0.37852153,TN
1147,0.63930345,TP
1148,0.68365246,TP
1149,0.47151673,TN
1150,0.5088515,FP
1151,0.43337673,TN
1152,0.4646355,TN
1153,0.13632068,TN
1154,0.588095,TP
1155,0.3330808,TN
1156,0.44531363,TN
1157,0.030044641,FN
1158,0.25590745,TN
1159,0.3631917,FN
1160,0.3563657,TN
1161,0.35629845,FN
1162,0.44118282,TN
1163,0.40728566,TN
1164,0.5971534,FP
1165,0.48883328,TN
1166,0.17406112,TN
1167,0.84607065,TP
1168,0.7218346,FP
1169,0.732788,TP
1170,0.17467421,TN
1171,0.15817106,TN
1172,0.21812342,TN
1173,0.64553463,TP
1174,0.7266473,TP
1175,0.62776256,FP
1176,0.1631264,TN
1177,0.26782656,TN
1178,0.6318314,TP
1179,0.16832586,TN
1180,0.73687816,TP
1181,0.30437797,TN
1182,0.278353,TN
1183,0.70454854,TP
1184,0.16733421,TN
1185,0.26252288,TN
1186,0.24265262,TN
1187,0.30902216,TN
1188,0.6101988,FP
1189,0.8207036,TP
1190,0.7697975,FP
1191,0.74926335,TP
1192,0.56778723,FP
1193,0.31736347,FN
1194,0.2719691,TN
1195,0.77329713,FP
1196,0.3526963,TN
1197,0.71828747,TP
1198,0.43457112,TN
1199,0.76285195,FP
1200,0.33128422,TN
1201,0.588085,FP
1202,0.6817655,FP
1203,0.33106503,TN
1204,0.56083715,TP
1205,0.7013908,TP
1206,0.5397876,FP
1207,0.5051325,TP
1208,0.58303154,FP
1209,0.8652827,TP
1210,0.6488561,FP
1211,0.61448306,FP
1212,0.2555454,TN
1213,0.23320366,TN
1214,0.26223543,FN
1215,0.8150803,TP
1216,0.5264909,TP
1217,0.73650354,TP
1218,0.2462977,FN
1219,0.7517414,FP
1220,0.6451076,TP
1221,0.6220274,FP
1222,0.31145003,TN
1223,0.3411113,TN
1224,0.3823505,FN
1225,0.29522884,TN
1226,0.2423038,FN
1227,0.78676426,TP
1228,0.6604029,TP
1229,0.8562175,TP
1230,0.26728952,TN
1231,0.50975174,TP
1232,0.83229744,FP
1233,0.14714564,TN
1234,0.5070097,FP
1235,0.24566935,TN
1236,0.78490096,FP
1237,0.5649767,FP
1238,0.77178514,TP
1239,0.11184385,TN
1240,0.46405002,TN
1241,0.68734425,FP
1242,0.26357505,TN
1243,0.07668566,TN
1244,0.74297494,TP
1245,0.5263959,FP
1246,0.80951864,TP
1247,0.25646457,TN
1248,0.6513484,FP
1249,0.5108258,FP
1250,0.6516929,FP
1251,0.24592961,FN
